109.	Luke Kennard	$14,763,636	$15,202,322
110.	Kentavious Caldwell-Pope	$14,704,938	$15,141,880
111.	Max Strus	$14,487,684	$14,918,170
112.	Reggie Bullock	$14,210,528	$14,632,779
113.	Tyus Jones	$14,000,000	$14,415,995
113.	Doug McDermott	$14,000,000	$14,415,995
115.	Dorian Finney-Smith	$13,932,008	$14,345,983
116.	Anthony Edwards	$13,534,817	$13,936,990
117.	Wendell Carter	$13,050,000	$13,437,767
118.	Gary Harris	$13,000,000	$13,386,281
119.	Josh Hart	$12,960,000	$13,345,093
120.	Naz Reid	$12,950,400	$13,335,207
121.	Steven Adams	$12,600,000	$12,974,396
122.	Marvin Bagley	$12,500,000	$12,871,424
122.	Brandon Clarke	$12,500,000	$12,871,424
124.	Grant Williams	$12,405,000	$12,773,601
124.	Dennis Schroeder	$12,405,000	$12,773,601
126.	Daniel Gafford	$12,402,000	$12,770,512
127.	Kelly Olynyk	$12,195,122	$12,557,487
128.	Victor Wembanyama	$12,160,632	$12,521,972
129.	James Wiseman	$12,119,440	$12,479,556
130.	Devonte Graham	$12,100,000	$12,459,539
131.	Richaun Holmes	$12,046,020	$12,403,955
132.	Herb Jones	$12,015,150	$12,372,167
132.	Austin Reaves	$12,015,150	$12,372,167
134.	Chris Boucher	$11,750,000	$12,099,139
135.	Nicolas Batum	$11,710,818	$12,058,792
135.	Bobby Portis	$11,710,818	$12,058,792
137.	Robert Covington	$11,692,308	$12,039,732
138.	Paolo Banchero	$11,608,080	$11,953,002
139.	Robert Williams	$11,571,429	$11,915,262
140.	Coby White	$11,111,111	$11,441,266
141.	Cade Cunningham	$11,055,360	$11,383,858
142.	Talen Horton-Tucker	$11,020,000	$11,347,447
143.	PJ Tucker	$11,014,500	$11,341,784
144.	Joe Ingles	$11,000,000	$11,326,853
144.	Maxi Kleber	$11,000,000	$11,326,853
146.	Ivica Zubac	$10,933,333	$11,258,205
147.	LaMelo Ball	$10,900,635	$11,224,536
148.	Donte DiVincenzo	$10,900,000	$11,223,882
149.	Brandon Miller	$10,880,364	$11,203,662
150.	Terance Mann	$10,576,923	$10,891,205
151.	Matisse Thybulle	$10,500,000	$10,811,996
151.	Gabe Vincent	$10,500,000	$10,811,996
153.	Alec Burks	$10,489,600	$10,801,287
154.	Chet Holmgren	$10,386,000	$10,694,609
155.	Larry Nance Jr	$10,375,000	$10,683,282
156.	Landry Shamet	$10,250,000	$10,554,568
157.	Al Horford	$10,000,000	$10,297,139
158.	Malik Monk	$9,945,830	$10,241,360
159.	Tre Jones	$9,895,833	$10,189,877
160.	Jalen Green	$9,891,480	$10,185,395
161.	Patrick Williams	$9,835,881	$10,128,144
162.	Monte Morris	$9,800,926	$10,092,150
163.	Scoot Henderson	$9,770,904	$10,061,236
164.	Nicolas Claxton	$9,625,000	$9,910,996
165.	Royce O'Neale	$9,500,000	$9,782,282
166.	Alex Caruso	$9,460,000	$9,741,094
167.	Victor Oladipo	$9,450,000	$9,730,797
168.	Pat Connaughton	$9,423,869	$9,703,889
169.	Cameron Payne	$9,391,467	$9,670,523
170.	Jabari Smith	$9,326,520	$9,603,647
171.	Isaiah Hartenstein	$9,245,121	$9,519,830
172.	Kyle Anderson	$9,219,512	$9,493,460
173.	Daniel Theis	$9,108,387	$9,379,032
174.	Thaddeus Young	$9,010,371	$9,278,104
175.	Grayson Allen	$8,925,000	$9,190,197
176.	Isaac Okoro	$8,920,794	$9,185,866
177.	Evan Mobley	$8,882,640	$9,146,578
178.	Amen Thompson	$8,809,284	$9,071,042
179.	Georges Niang	$8,800,000	$9,061,482
180.	Gary Payton II	$8,715,000	$8,973,957
181.	TJ McConnell	$8,700,000	$8,958,511
182.	Keegan Murray	$8,409,000	$8,658,864
183.	Delon Wright	$8,195,122	$8,438,631
184.	Onyeka Okongwu	$8,109,063	$8,350,015
185.	Scottie Barnes	$8,008,680	$8,246,649
186.	Trey Lyles	$8,000,000	$8,237,711
