Player,Salary,season,Player_clean
Luke Kornet,2800834.0,2024-25,luke kornet
Daniel Theis,2800834.0,2024-25,daniel theis
Damion Lee,2800834.0,2024-25,damion lee
Monte Morris,2800834.0,2024-25,monte morris
AJ Johnson,2795294.0,2024-25,aj johnson
Mo Bamba,2763299.0,2024-25,mo bamba
Marcus Sasser,2755229.0,2024-25,marcus sasser
Trendon Watford,2726603.0,2024-25,trendon watford
Wendell Moore,2723634.0,2024-25,wendell moore
Ben Sheppard,2664031.0,2024-25,ben sheppard
Keita Bates-Diop,2654644.0,2024-25,keita bates-diop
Blake Wesley,2624280.0,2024-25,blake wesley
Dillon Jones,2622360.0,2024-25,dillon jones
Jae Crowder,2620232.0,2024-25,jae crowder
Gary Trent Jr,2613120.0,2024-25,gary trent jr
Patrick Baldwin,2590394.0,2024-25,patrick baldwin
Nick Smith,2587108.0,2024-25,nick smith
Brice Sensabaugh,2571030.0,2024-25,brice sensabaugh
Ty Jerome,2560975.0,2024-25,ty jerome
Julian Strawther,2552596.0,2024-25,julian strawther
Terrence Shannon Jr.,2546640.0,2024-25,terrence shannon jr.
Kobe Brown,2534024.0,2024-25,kobe brown
Ryan Dunn,2530800.0,2024-25,ryan dunn
Isaiah Collier,2512680.0,2024-25,isaiah collier
Baylor Scheierman,2494320.0,2024-25,baylor scheierman
Nikola Jovic,2464200.0,2024-25,nikola jovic
Jaxson Hayes,2463946.0,2024-25,jaxson hayes
Cam Reddish,2463946.0,2024-25,cam reddish
DaQuan Jeffries,2425403.0,2024-25,daquan jeffries
Talen Horton-Tucker,2425403.0,2024-25,talen horton-tucker
Javonte Green,2425403.0,2024-25,javonte green
Vlatko Cancar,2425403.0,2024-25,vlatko cancar
Bol Bol,2425403.0,2024-25,bol bol
Jordan McLaughlin,2425403.0,2024-25,jordan mclaughlin
Peyton Watson,2413560.0,2024-25,peyton watson
Charlie Brown,2237692.0,2024-25,charlie brown
Xavier Tillman,2237691.0,2024-25,xavier tillman
Anthony Gill,2237691.0,2024-25,anthony gill
James Wiseman,2237691.0,2024-25,james wiseman
Garrison Mathews,2230253.0,2024-25,garrison mathews
Justin Champagnie,2224662.0,2024-25,justin champagnie
JaVale McGee,2208856.0,2024-25,javale mcgee
Lindy Waters III,2196970.0,2024-25,lindy waters iii
Jeremiah Robinson-Earl,2196970.0,2024-25,jeremiah robinson-earl
Dalano Banton,2196970.0,2024-25,dalano banton
Sam Merrill,2164993.0,2024-25,sam merrill
Duane Washington Jr,2162607.0,2024-25,duane washington jr
Vit Krejci,2162606.0,2024-25,vit krejci
Neemias Queta,2162606.0,2024-25,neemias queta
Keon Johnson,2162606.0,2024-25,keon johnson
Luka Garza,2162606.0,2024-25,luka garza
Charles Bassey,2162606.0,2024-25,charles bassey
Sandro Mamukelashvili,2162606.0,2024-25,sandro mamukelashvili
Vince Williams Jr,2120693.0,2024-25,vince williams jr
AJ Green,2120693.0,2024-25,aj green
Colby Jones,2120693.0,2024-25,colby jones
Keon Ellis,2120693.0,2024-25,keon ellis
Sidy Cissoko,2100971.0,2024-25,sidy cissoko
Sam Hauser,2092344.0,2024-25,sam hauser
Jericho Sims,2092344.0,2024-25,jericho sims
Jay Huff,2088033.0,2024-25,jay huff
Scotty Pippen Jr,2087519.0,2024-25,scotty pippen jr
Tyler Kolek,2087519.0,2024-25,tyler kolek
Guerschon Yabusele,2087519.0,2024-25,guerschon yabusele
Duop Reath,2048780.0,2024-25,duop reath
Andrew Nembhard,2019699.0,2024-25,andrew nembhard
Jaden Hardy,2019699.0,2024-25,jaden hardy
Kennedy Chandler,2019699.0,2024-25,kennedy chandler
Josh Minott,2019699.0,2024-25,josh minott
Jaylin Williams,2019699.0,2024-25,jaylin williams
Caleb Houstan,2019699.0,2024-25,caleb houstan
Jabari Walker,2019699.0,2024-25,jabari walker
Jose Alvarado,1988598.0,2024-25,jose alvarado
Julian Phillips,1891857.0,2024-25,julian phillips
Craig Porter,1891857.0,2024-25,craig porter
Jalen Pickett,1891857.0,2024-25,jalen pickett
Hunter Tyson,1891857.0,2024-25,hunter tyson
GG Jackson,1891857.0,2024-25,gg jackson
Andre Jackson Jr,1891857.0,2024-25,andre jackson jr
Chris Livingston,1891857.0,2024-25,chris livingston
Leonard Miller,1891857.0,2024-25,leonard miller
Ricky Council,1891857.0,2024-25,ricky council
Mouhamed Gueye,1891857.0,2024-25,mouhamed gueye
Jordan Walsh,1891857.0,2024-25,jordan walsh
Maxwell Lewis,1891857.0,2024-25,maxwell lewis
Jalen Wilson,1891857.0,2024-25,jalen wilson
Trayce Jackson-Davis,1891857.0,2024-25,trayce jackson-davis
Gui Santos,1891857.0,2024-25,gui santos
Toumani Camara,1891857.0,2024-25,toumani camara
Rayan Rupert,1891857.0,2024-25,rayan rupert
Oso Ighodaro,1862265.0,2024-25,oso ighodaro
Jonathan Mogbo,1862265.0,2024-25,jonathan mogbo
Jamal Shead,1862265.0,2024-25,jamal shead
Izaiah Brockington,1862265.0,2024-25,izaiah brockington
Johnny Furphy,1850842.0,2024-25,johnny furphy
Pacome Dadiet,1808080.0,2024-25,pacome dadiet
Orlando Robinson,1764727.0,2024-25,orlando robinson
Landry Shamet,1682008.0,2024-25,landry shamet
Ryan Rollins,1549888.0,2024-25,ryan rollins
Jordan Miller,1471445.0,2024-25,jordan miller
Karlo Matkovic,1407153.0,2024-25,karlo matkovic
Jamison Battle,1350668.0,2024-25,jamison battle
Moussa Diabate,1314865.0,2024-25,moussa diabate
Eric Bledsoe,1300000.0,2024-25,eric bledsoe
EJ Liddell,1285475.0,2024-25,ej liddell
Bismack Biyombo,1253154.0,2024-25,bismack biyombo
Bobi Klintman,1157153.0,2024-25,bobi klintman
Cam Christie,1157153.0,2024-25,cam christie
Bronny James,1157153.0,2024-25,bronny james
Jaylen Wells,1157153.0,2024-25,jaylen wells
Pelle Larsson,1157153.0,2024-25,pelle larsson
Tyler Smith,1157153.0,2024-25,tyler smith
Antonio Reeves,1157153.0,2024-25,antonio reeves
Adem Bona,1157153.0,2024-25,adem bona
Jared Butler,1115697.0,2024-25,jared butler
Bruno Fernando,1115128.0,2024-25,bruno fernando
Ariel Hukporti,1112306.0,2024-25,ariel hukporti
Elfrid Payton,1099236.0,2024-25,elfrid payton
PJ Dozier,1051255.0,2024-25,pj dozier
BJ Boston,1005158.0,2024-25,bj boston
Josh Primo,1000000.0,2024-25,josh primo
Markelle Fultz,981902.0,2024-25,markelle fultz
Matt Ryan,978541.0,2024-25,matt ryan
Tyrese Martin,959732.0,2024-25,tyrese martin
Colin Castleton,955125.0,2024-25,colin castleton
Jeenathan Williams,940543.0,2024-25,jeenathan williams
Keshad Johnson,937214.0,2024-25,keshad johnson
Dominick Barlow,922983.0,2024-25,dominick barlow
Jaylen Clark,907334.0,2024-25,jaylen clark
Pat Spencer,869906.0,2024-25,pat spencer
Trey Jemison,864902.0,2024-25,trey jemison
Branden Carlson,795038.0,2024-25,branden carlson
Quinten Post,789588.0,2024-25,quinten post
Justin Edwards,782721.0,2024-25,justin edwards
Lonnie Walker,780932.0,2024-25,lonnie walker
Kai Jones,713697.0,2024-25,kai jones
Jacob Toppin,710480.0,2024-25,jacob toppin
Nik Stauskas,702311.0,2024-25,nik stauskas
Lamar Stevens,668735.0,2024-25,lamar stevens
Kevin Knox,660790.0,2024-25,kevin knox
Isaac Jones,641962.0,2024-25,isaac jones
Tony Bradley,635312.0,2024-25,tony bradley
Brandon Williams,598120.0,2024-25,brandon williams
KJ Simpson,578577.0,2024-25,kj simpson
Ulrich Chomche,578577.0,2024-25,ulrich chomche
Keaton Wallace,578577.0,2024-25,keaton wallace
Drew Peterson,578577.0,2024-25,drew peterson
Reece Beekman,578577.0,2024-25,reece beekman
Adama Sanogo,578577.0,2024-25,adama sanogo
Emoni Bates,578577.0,2024-25,emoni bates
Luke Travers,578577.0,2024-25,luke travers
Kessler Edwards,578577.0,2024-25,kessler edwards
Jazian Gortman,578577.0,2024-25,jazian gortman
Trey Alexander,578577.0,2024-25,trey alexander
PJ Hall,578577.0,2024-25,pj hall
Spencer Jones,578577.0,2024-25,spencer jones
Daniss Jenkins,578577.0,2024-25,daniss jenkins
N'Faly Dante,578577.0,2024-25,n'faly dante
Jack McVeigh,578577.0,2024-25,jack mcveigh
Enrique Freeman,578577.0,2024-25,enrique freeman
Quenton Jackson,578577.0,2024-25,quenton jackson
Trentyn Flowers,578577.0,2024-25,trentyn flowers
Christian Koloko,578577.0,2024-25,christian koloko
Quincy Olivari,578577.0,2024-25,quincy olivari
Armel Traore,578577.0,2024-25,armel traore
Yuki Kawamura,578577.0,2024-25,yuki kawamura
Cam Spencer,578577.0,2024-25,cam spencer
Josh Christopher,578577.0,2024-25,josh christopher
Dru Smith,578577.0,2024-25,dru smith
Liam Robbins,578577.0,2024-25,liam robbins
Stanley Umude,578577.0,2024-25,stanley umude
Jesse Edwards,578577.0,2024-25,jesse edwards
Tristen Newton,578577.0,2024-25,tristen newton
Jamal Cain,578577.0,2024-25,jamal cain
Kevin McCullar,578577.0,2024-25,kevin mccullar
Anton Watson,578577.0,2024-25,anton watson
Alex Ducas,578577.0,2024-25,alex ducas
Adam Flagler,578577.0,2024-25,adam flagler
Mac McClung,578577.0,2024-25,mac mcclung
Trevelin Queen,578577.0,2024-25,trevelin queen
Jeff Dowtin,578577.0,2024-25,jeff dowtin
Jalen Bridges,578577.0,2024-25,jalen bridges
Collin Gillespie,578577.0,2024-25,collin gillespie
TyTy Washington,578577.0,2024-25,tyty washington
Bryce McGowens,578577.0,2024-25,bryce mcgowens
Justin Minaya,578577.0,2024-25,justin minaya
Taze Moore,578577.0,2024-25,taze moore
Isaiah Crawford,578577.0,2024-25,isaiah crawford
Mason Jones,578577.0,2024-25,mason jones
David Duke,578577.0,2024-25,david duke
Harrison Ingram,578577.0,2024-25,harrison ingram
Riley Minix,578577.0,2024-25,riley minix
Micah Potter,578577.0,2024-25,micah potter
Oscar Tshiebwe,578577.0,2024-25,oscar tshiebwe
JT Thor,578577.0,2024-25,jt thor
Tristan Vukcevic,578577.0,2024-25,tristan vukcevic
Juwan Morgan,576230.0,2024-25,juwan morgan
JD Davison,571779.0,2024-25,jd davison
Malik Fitts,555217.0,2024-25,malik fitts
Pete Nance,539893.0,2024-25,pete nance
AJ Lawson,534309.0,2024-25,aj lawson
Jaylen Nowell,473929.0,2024-25,jaylen nowell
Cole Swider,472449.0,2024-25,cole swider
Mamadi Diakite,464050.0,2024-25,mamadi diakite
Moses Brown,446051.0,2024-25,moses brown
Isaiah Wong,427879.0,2024-25,isaiah wong
Daeqwon Plowden,424951.0,2024-25,daeqwon plowden
Ricky Rubio,424672.0,2024-25,ricky rubio
Lester Quinones,424409.0,2024-25,lester quinones
Jared Rhoden,386995.0,2024-25,jared rhoden
Jaylen Martin,384594.0,2024-25,jaylen martin
Zyon Pullin,379911.0,2024-25,zyon pullin
Chuma Okeke,372949.0,2024-25,chuma okeke
Jordan Goodwin,364102.0,2024-25,jordan goodwin
Daishen Nix,362356.0,2024-25,daishen nix
Isaiah Stevens,350668.0,2024-25,isaiah stevens
Emanuel Miller,344234.0,2024-25,emanuel miller
Tosan Evbuomwan,331365.0,2024-25,tosan evbuomwan
Elijah Harkless,331365.0,2024-25,elijah harkless
Seth Lundy,328148.0,2024-25,seth lundy
RayJ Dennis,324931.0,2024-25,rayj dennis
Kylor Kelley,324090.0,2024-25,kylor kelley
Ron Harper Jr,315280.0,2024-25,ron harper jr
Tolu Smith,315280.0,2024-25,tolu smith
Keion Brooks,305628.0,2024-25,keion brooks
DJ Carton,289289.0,2024-25,dj carton
Jason Preston,289289.0,2024-25,jason preston
Didi Louzada,268032.0,2024-25,didi louzada
Alex Reese,250312.0,2024-25,alex reese
AJ Griffin,250000.0,2024-25,aj griffin
Jackson Rowe,244502.0,2024-25,jackson rowe
Alondes Williams,244502.0,2024-25,alondes williams
DJ Steward,215548.0,2024-25,dj steward
Ethan Thompson,212331.0,2024-25,ethan thompson
Nae'qwan Tomlin,204840.0,2024-25,nae'qwan tomlin
Damion Baugh,196245.0,2024-25,damion baugh
Cui Yongxi,176943.0,2024-25,cui yongxi
David Jones,175480.0,2024-25,david jones
Jahmir Young,173725.0,2024-25,jahmir young
Taran Armstrong,157640.0,2024-25,taran armstrong
Kendall Brown,154423.0,2024-25,kendall brown
Jalen Crutcher,154423.0,2024-25,jalen crutcher
Jahlil Okafor,150179.0,2024-25,jahlil okafor
Boo Buie,143308.0,2024-25,boo buie
Oshae Brissett,139391.0,2024-25,oshae brissett
Jamaree Bouyea,135120.0,2024-25,jamaree bouyea
Miles Norris,131903.0,2024-25,miles norris
Tyson Etienne,131903.0,2024-25,tyson etienne
Braxton Key,129415.0,2024-25,braxton key
Killian Hayes,128603.0,2024-25,killian hayes
Malachi Flynn,128603.0,2024-25,malachi flynn
Skal Labissiere,128603.0,2024-25,skal labissiere
Malevy Leons,126356.0,2024-25,malevy leons
Marcus Bagley,126356.0,2024-25,marcus bagley
Terry Taylor,124288.0,2024-25,terry taylor
Eugene Omoruyi,124288.0,2024-25,eugene omoruyi
Kevon Harris,119972.0,2024-25,kevon harris
Drew Timme,113055.0,2024-25,drew timme
Marcus Garrett,107027.0,2024-25,marcus garrett
Javon Freeman-Liberty,100000.0,2024-25,javon freeman-liberty
Jaylin Galloway,77500.0,2024-25,jaylin galloway
Anzejs Pasecniks,77500.0,2024-25,anzejs pasecniks
Taevion Kinsey,77500.0,2024-25,taevion kinsey
Malcolm Hill,75000.0,2024-25,malcolm hill
Jaylen Sims,73153.0,2024-25,jaylen sims
Yuri Collins,66503.0,2024-25,yuri collins
Phillip Wheeler,66503.0,2024-25,phillip wheeler
Erik Stevenson,66503.0,2024-25,erik stevenson
Terence Davis,64301.0,2024-25,terence davis
Javante McCoy,32596.0,2024-25,javante mccoy
Kevin Porter Jr.,3217631.0,2022-23,kevin porter jr.
Kevin Porter Jr.,15860000.0,2023-24,kevin porter jr.
Kevin Porter Jr.,3237691.0,2024-25,kevin porter jr.
